epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,233.452,0.63455,0.39654,0.8502,0.94667,0.70874,0.8427,0.54113,1.22334,0.77164,0.99282,0.0005546,0.0005546,0.0005546
148,234.993,0.66519,0.40678,0.84233,0.93612,0.71145,0.85075,0.53236,1.22719,0.77239,0.98772,0.0005447,0.0005447,0.0005447
149,236.534,0.61732,0.38809,0.8364,0.90179,0.7132,0.84185,0.54017,1.23541,0.75604,0.99207,0.0005348,0.0005348,0.0005348
150,238.074,0.64387,0.39282,0.82743,0.89801,0.69903,0.83807,0.53949,1.18857,0.76396,0.97849,0.0005249,0.0005249,0.0005249
151,239.613,0.61686,0.37447,0.8231,0.92206,0.69903,0.84324,0.54168,1.20481,0.79466,0.98414,0.000515,0.000515,0.000515
152,241.159,0.62471,0.37773,0.83591,0.81051,0.75728,0.83246,0.54286,1.20215,0.7722,0.98454,0.0005051,0.0005051,0.0005051
153,242.694,0.62035,0.37111,0.83813,0.85284,0.73145,0.81972,0.53143,1.19839,0.78876,0.98379,0.0004952,0.0004952,0.0004952
154,244.234,0.61376,0.37067,0.8347,0.84227,0.74757,0.81426,0.52711,1.2026,0.78445,0.99557,0.0004853,0.0004853,0.0004853
155,245.779,0.63808,0.38113,0.84327,0.9154,0.71845,0.83217,0.53204,1.19946,0.75831,0.99258,0.0004754,0.0004754,0.0004754
156,247.325,0.62038,0.36879,0.83611,0.91973,0.72816,0.84755,0.54146,1.21,0.75006,0.99934,0.0004655,0.0004655,0.0004655
157,248.872,0.63925,0.38419,0.83338,0.91602,0.75728,0.86906,0.55133,1.2026,0.71826,0.99416,0.0004556,0.0004556,0.0004556
158,250.416,0.61849,0.36425,0.82585,0.83578,0.79062,0.88546,0.56086,1.20332,0.69368,0.99525,0.0004457,0.0004457,0.0004457
159,251.955,0.63097,0.38212,0.82531,0.86142,0.78459,0.88503,0.56338,1.22437,0.70415,0.99357,0.0004358,0.0004358,0.0004358
160,253.5,0.58164,0.34966,0.82617,0.95465,0.72816,0.89036,0.56394,1.22144,0.71249,0.98967,0.0004259,0.0004259,0.0004259
161,255.045,0.60909,0.37806,0.8369,0.82604,0.82986,0.88249,0.56289,1.23364,0.71051,0.98985,0.000416,0.000416,0.000416
162,256.674,0.59382,0.36048,0.82445,0.82392,0.82524,0.87994,0.55807,1.23931,0.71312,1.00116,0.0004061,0.0004061,0.0004061
163,258.223,0.58655,0.36166,0.83013,0.90073,0.76699,0.87545,0.56263,1.23148,0.70089,0.99239,0.0003962,0.0003962,0.0003962
164,259.769,0.5934,0.37072,0.82711,0.96158,0.72906,0.86247,0.55129,1.22436,0.70484,0.99443,0.0003863,0.0003863,0.0003863
165,261.311,0.59005,0.35682,0.81837,0.93936,0.73786,0.87472,0.54431,1.26145,0.68893,0.99633,0.0003764,0.0003764,0.0003764
